state,year,population,population_adult,population_adult_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Pennsylvania,2016,12784227,10119261,8048754,24,91,115,0,0,0,1536,15455,16991,0,0,0,0,0,0,6,87,93,2,5,7,0,0,0,1857,18775,20632,8,91,99,0,1,1,271,2874,3145
Pennsylvania,2015,12802503,10116359,8083089,26,120,146,0,0,0,1471,15911,17382,0,2,2,0,0,0,11,95,106,0,4,4,0,0,0,1769,19371,21140,9,136,145,0,1,1,241,2937,3178
Pennsylvania,2014,12787209,10098269,8112593,29,104,133,0,0,0,1486,15652,17138,0,0,0,0,0,0,2,108,110,0,3,3,0,0,0,1757,19037,20794,10,96,106,0,0,0,225,2933,3158
Pennsylvania,2013,12773801,10064792,8130010,14,68,82,0,0,0,1467,14306,15773,0,0,0,0,0,0,7,77,84,2,6,8,0,0,0,1799,18826,20625,17,894,911,0,0,0,279,3327,3606
Pennsylvania,2012,12763536,10031170,8146059,26,228,254,0,0,0,1306,13396,14702,0,0,0,0,0,0,4,97,101,0,10,10,0,0,0,1640,17517,19157,8,90,98,0,0,0,289,3543,3832
Pennsylvania,2011,12742886,9984572,8122136,10,213,223,0,0,0,1191,12234,13425,0,1,1,0,0,0,9,83,92,0,11,11,0,0,0,1487,16551,18038,7,109,116,0,3,3,263,3741,4004
Pennsylvania,2010,12709630,9924558,8074859,11,153,164,0,0,0,1186,11224,12410,0,0,0,0,0,0,8,68,76,0,9,9,0,0,0,1518,15568,17086,16,125,141,0,0,0,294,3848,4142
Pennsylvania,2009,12604767,9833768,8008609,20,86,106,NA,NA,NA,957,9572,10529,0,0,0,0,0,0,8,72,80,4,14,18,NA,NA,NA,1321,13546,14867,17,114,131,0,0,0,308,3527,3835
Pennsylvania,2008,12448279,9694803,7910971,14,183,197,NA,NA,NA,830,9566,10396,0,0,0,0,0,0,9,45,54,1,8,9,NA,NA,NA,1289,14766,16055,15,225,240,2,4,6,215,3648,3863
Pennsylvania,2007,12432792,9631293,7852567,18,259,277,NA,NA,NA,882,10313,11195,0,1,1,0,0,0,3,79,82,1,13,14,NA,NA,NA,1256,15576,16832,16,198,214,0,1,1,148,2930,3078
Pennsylvania,2006,12440621,9614874,7839414,6,151,157,NA,NA,NA,870,9889,10759,0,0,0,0,0,0,4,71,75,2,6,8,NA,NA,NA,1219,14868,16087,24,258,282,0,0,0,148,2896,3044
Pennsylvania,2005,11948862,9169144,7509685,3,84,87,0,0,0,762,10028,10790,0,0,0,0,0,0,2,73,75,0,12,12,0,0,0,1024,14473,15497,22,186,208,0,1,1,155,2892,3047
Pennsylvania,2004,11971696,9143952,7471991,6,103,109,0,0,0,814,10009,10823,0,0,0,0,0,0,5,84,89,2,11,13,0,0,0,1043,13694,14737,24,208,232,0,0,0,169,2946,3115
Pennsylvania,2003,11935566,9118093,7458852,2,123,125,0,0,0,787,9037,9824,0,0,0,0,0,0,2,69,71,0,14,14,0,0,0,958,12553,13511,11,107,118,0,1,1,150,3024,3174
Pennsylvania,2002,11913892,9063268,7388686,2,124,126,0,0,0,570,6459,7029,0,0,0,0,0,0,8,60,68,0,23,23,0,0,0,755,10093,10848,8,86,94,0,0,0,146,3046,3192
Pennsylvania,2001,11856640,9061561,7385893,4,156,160,0,0,0,516,6453,6969,0,0,0,0,0,0,14,106,120,2,16,18,0,0,0,689,9957,10646,8,102,110,0,0,0,124,2870,2994
Pennsylvania,2000,11790241,8928607,7240949,1,71,72,0,0,0,542,6784,7326,0,0,0,0,0,0,9,143,152,2,20,22,0,0,0,748,11140,11888,12,45,57,0,0,0,102,2736,2838
Pennsylvania,1999,11796562,8942820,7253907.899999997,0,71,71,NA,NA,NA,444,6515,6959,0,3,3,0,0,0,7,102,109,0,16,16,NA,NA,NA,572,9593,10165,8,55,63,0,0,0,98,2568,2666
Pennsylvania,1998,11802883,8957033,7266866.799999997,NA,NA,NA,NA,NA,NA,481,6804,7285,NA,NA,NA,0,0,0,2,17,19,0,4,4,NA,NA,NA,567,8703,9270,8,31,39,0,0,0,66,1523,1589
Pennsylvania,1997,11809204,8971246,7279825.699999997,NA,NA,NA,NA,NA,NA,545,6650,7195,NA,NA,NA,0,0,0,10,121,131,3,22,25,NA,NA,NA,635,8526,9161,5,65,70,0,0,0,64,1488,1552
Pennsylvania,1996,11815525,8985459,7292784.599999998,NA,NA,NA,NA,NA,NA,449,5213,5662,NA,NA,NA,0,0,0,8,72,80,5,21,26,NA,NA,NA,566,7227,7793,13,67,80,0,0,0,82,1732,1814
Pennsylvania,1995,11821845,8999672,7305743.499999998,NA,NA,NA,NA,NA,NA,373,5231,5604,NA,NA,NA,0,0,0,1,63,64,0,26,26,NA,NA,NA,450,6501,6951,13,92,105,0,0,0,53,971,1024
Pennsylvania,1994,11828166,9013885,7318702.3999999985,NA,NA,NA,NA,NA,NA,510,7398,7908,NA,NA,NA,0,0,0,3,54,57,3,24,27,NA,NA,NA,570,8595,9165,8,153,161,0,2,2,36,716,752
Pennsylvania,1993,11834487,9028098,7331661.299999999,NA,NA,NA,NA,NA,NA,435,6303,6738,NA,NA,NA,0,0,0,2,81,83,4,32,36,NA,NA,NA,510,8304,8814,11,155,166,0,4,4,24,710,734
Pennsylvania,1992,11840808,9042311,7344620.199999999,NA,NA,NA,NA,NA,NA,463,6035,6498,NA,NA,NA,0,0,0,1,71,72,0,29,29,NA,NA,NA,539,7944,8483,5,142,147,0,3,3,32,677,709
Pennsylvania,1991,11847129,9056524,7357579.1,NA,NA,NA,NA,NA,NA,441,5953,6394,NA,NA,NA,0,0,0,5,50,55,6,42,48,NA,NA,NA,508,7998,8506,16,328,344,0,4,4,23,584,607
Pennsylvania,1990,11853450,9070737,7370538,NA,NA,NA,NA,NA,NA,414,5461,5875,NA,NA,NA,0,0,0,5,38,43,2,30,32,NA,NA,NA,490,6754,7244,22,403,425,0,1,1,39,694,733
Pennsylvania,1989,11855579,9035763.299999993,7364384.199999998,NA,NA,NA,NA,NA,NA,367,4538,4905,NA,NA,NA,0,0,0,1,36,37,7,41,48,NA,NA,NA,416,5822,6238,6,383,389,0,3,3,26,689,715
Pennsylvania,1988,11857708,9000789.599999994,7358230.3999999985,NA,NA,NA,NA,NA,NA,295,4087,4382,NA,NA,NA,0,0,0,8,66,74,3,36,39,NA,NA,NA,334,5128,5462,5,301,306,0,0,0,18,513,531
Pennsylvania,1987,11859837,8965815.899999995,7352076.599999999,NA,NA,NA,NA,NA,NA,222,3922,4144,NA,NA,NA,0,0,0,3,97,100,3,35,38,NA,NA,NA,269,5031,5300,9,342,351,0,0,0,16,474,490
Pennsylvania,1986,11861966,8930842.199999996,7345922.799999999,NA,NA,NA,NA,NA,NA,201,3882,4083,NA,NA,NA,0,0,0,6,123,129,4,36,40,NA,NA,NA,255,4987,5242,12,344,356,0,0,0,16,449,465
Pennsylvania,1985,11864095,8895868.499999996,7339768.999999999,NA,NA,NA,NA,NA,NA,196,3820,4016,NA,NA,NA,0,0,0,3,107,110,1,38,39,NA,NA,NA,242,4809,5051,19,346,365,0,0,0,11,351,362
Pennsylvania,1984,11866224,8860894.799999997,7333615.199999999,NA,NA,NA,NA,NA,NA,185,3594,3779,NA,NA,NA,0,0,0,10,87,97,0,42,42,NA,NA,NA,244,4396,4640,13,245,258,0,0,0,12,269,281
Pennsylvania,1983,11868353,8825921.099999998,7327461.399999999,NA,NA,NA,NA,NA,NA,166,3348,3514,NA,NA,NA,0,0,0,4,112,116,7,38,45,NA,NA,NA,230,4239,4469,16,298,314,0,0,0,11,261,272
Pennsylvania,1982,11870482,8790947.399999999,7321307.6,NA,NA,NA,0,0,0,182,3049,3231,NA,NA,NA,0,0,0,5,101,106,7,41,48,0,0,0,247,3925,4172,12,248,260,0,0,0,7,218,225
Pennsylvania,1981,11872611,8755973.7,7315153.8,NA,NA,NA,0,0,0,128,2740,2868,NA,NA,NA,0,0,0,4,129,133,4,50,54,0,0,0,213,3737,3950,17,218,235,0,0,0,7,192,199
Pennsylvania,1980,11874740,8721e3,7309e3,NA,NA,NA,0,0,0,121,2690,2811,NA,NA,NA,0,0,0,6,195,201,1,38,39,0,0,0,179,3653,3832,17,188,205,0,0,0,8,161,169
Pennsylvania,1979,11864506,864e4,7251710,NA,NA,NA,0,0,0,114,2725,2839,NA,NA,NA,0,0,0,4,167,171,1,35,36,0,0,0,148,3297,3445,4,87,91,0,0,0,10,161,171
Pennsylvania,1978,11854272,8559e3,7194420,0,18,18,0,0,0,142,2679,2821,26,65,91,0,0,0,5,56,61,4,45,49,0,0,0,187,3282,3469,7,79,86,0,0,0,1,118,119
